Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:33:23

Sample Number,Time (s),2 (VOLT),
413,-0.00289262,13.9147353023291,
414,-0.002887505,14.0820993185043,
415,-0.00288239,13.5800072699785,
416,-0.002877275,14.0820993185043,
417,-0.00287216,13.7473712861538,
418,-0.002867045,13.9147353023291,
419,-0.00286193,13.9147353023291,
420,-0.002856815,14.0820993185043,
421,-0.0028517,13.7473712861538,
422,-0.002846585,14.0820993185043,
423,-0.00284147,13.7473712861538,
424,-0.002836355,13.9147353023291,
425,-0.00283124,13.9147353023291,
426,-0.002826125,13.9147353023291,
427,-0.00282101,13.7473712861538,
428,-0.002815895,14.0820993185043,
429,-0.00281078,13.7473712861538,
430,-0.002805665,13.9147353023291,
431,-0.00280055,13.7473712861538,
432,-0.002795435,-13.5329633504152,
433,-0.00279032,-13.5329633504152,
434,-0.002785205,-13.7003273665905,
435,-0.00278009,-13.5329633504152,
436,-0.002774975,-13.5329633504152,
437,-0.00276986,-13.5329633504152,
438,-0.002764745,-13.7003273665905,
439,-0.00275963,-13.7003273665905,
440,-0.002754515,-13.8676913827658,
441,-0.0027494,-13.5329633504152,
442,-0.002744285,-13.7003273665905,
443,-0.00273917,-13.5329633504152,
444,-0.002734055,-13.5329633504152,
445,-0.00272894,-13.7003273665905,
446,-0.002723825,-13.5329633504152,
447,-0.00271871,-13.8676913827658,
448,-0.002713595,-13.5329633504152,
449,-0.00270848,-13.36559933424,
450,-0.002703365,-13.5329633504152,
451,-0.00269825,13.5800072699785,
452,-0.002693135,13.9147353023291,
453,-0.00268802,13.9147353023291,
454,-0.002682905,13.9147353023291,
455,-0.00267779,13.7473712861538,
456,-0.002672675,14.0820993185043,
457,-0.00266756,13.9147353023291,
458,-0.002662445,14.0820993185043,
459,-0.00265733,13.9147353023291,
460,-0.002652215,14.0820993185043,
461,-0.0026471,13.9147353023291,
462,-0.002641985,13.7473712861538,
463,-0.00263687,13.7473712861538,
464,-0.002631755,14.0820993185043,
465,-0.00262664,13.7473712861538,
466,-0.002621525,13.9147353023291,
467,-0.00261641,13.7473712861538,
468,-0.002611295,14.0820993185043,
469,-0.00260618,13.7473712861538,
470,-0.002601065,13.7473712861538,
471,-0.00259595,13.5800072699785,
472,-0.002590835,13.9147353023291,
473,-0.00258572,13.9147353023291,
474,-0.002580605,14.0820993185043,
475,-0.00257549,13.7473712861538,
476,-0.002570375,13.9147353023291,
477,-0.00256526,13.9147353023291,
478,-0.002560145,13.9147353023291,
479,-0.00255503,13.7473712861538,
480,-0.002549915,13.9147353023291,
481,-0.0025448,13.7473712861538,
482,-0.002539685,13.9147353023291,
483,-0.00253457,13.7473712861538,
484,-0.002529455,13.9147353023291,
485,-0.00252434,13.7473712861538,
486,-0.002519225,13.9147353023291,
487,-0.00251411,13.7473712861538,
488,-0.002508995,13.7473712861538,
489,-0.00250388,13.9147353023291,
490,-0.002498765,-11.1898671239614,
491,-0.00249365,-13.7003273665905,
492,-0.002488535,-13.7003273665905,
493,-0.00248342,-13.5329633504152,
494,-0.002478305,-13.8676913827658,
495,-0.00247319,-13.7003273665905,
496,-0.002468075,-13.7003273665905,
497,-0.00246296,-13.8676913827658,
498,-0.002457845,-13.7003273665905,
499,-0.00245273,-13.7003273665905,
500,-0.002447615,-13.5329633504152,
501,-0.0024425,-13.5329633504152,
502,-0.002437385,-13.5329633504152,
503,-0.00243227,-13.7003273665905,
504,-0.002427155,-13.5329633504152,
505,-0.00242204,-13.7003273665905,
506,-0.002416925,-13.7003273665905,
507,-0.00241181,-13.5329633504152,
508,-0.002406695,-13.7003273665905,
509,-0.00240158,-13.5329633504152,
510,-0.002396465,13.7473712861538,
511,-0.00239135,13.9147353023291,
512,-0.002386235,13.5800072699785,
513,-0.00238112,14.0820993185043,
514,-0.002376005,13.7473712861538,
515,-0.00237089,13.9147353023291,
516,-0.002365775,13.7473712861538,
517,-0.00236066,13.9147353023291,
518,-0.002355545,13.9147353023291,
519,-0.00235043,14.0820993185043,
520,-0.002345315,13.9147353023291,
521,-0.0023402,14.0820993185043,
522,-0.002335085,13.7473712861538,
523,-0.00232997,13.9147353023291,
524,-0.002324855,13.7473712861538,
525,-0.00231974,14.0820993185043,
526,-0.002314625,13.7473712861538,
527,-0.00230951,13.9147353023291,
528,-0.002304395,13.7473712861538,
529,-0.00229928,1.19507007300854,
530,-0.002294165,-13.5329633504152,
531,-0.00228905,-13.8676913827658,
532,-0.002283935,-13.7003273665905,
533,-0.00227882,-13.5329633504152,
534,-0.002273705,-13.5329633504152,
535,-0.00226859,-13.5329633504152,
536,-0.002263475,-13.7003273665905,
537,-0.00225836,-13.7003273665905,
538,-0.002253245,-13.7003273665905,
539,-0.00224813,-13.5329633504152,
540,-0.002243015,-13.5329633504152,
541,-0.0022379,-13.7003273665905,
542,-0.002232785,-13.7003273665905,
543,-0.00222767,-13.5329633504152,
544,-0.002222555,-13.7003273665905,
545,-0.00221744,-13.5329633504152,
546,-0.002212325,-13.7003273665905,
547,-0.00220721,-13.5329633504152,
548,-0.002202095,-13.7003273665905,
549,-0.00219698,-13.5329633504152,
550,-0.002191865,-13.7003273665905,
551,-0.00218675,-13.7003273665905,
552,-0.002181635,-13.5329633504152,
553,-0.00217652,-13.5329633504152,
554,-0.002171405,-13.5329633504152,
555,-0.00216629,-13.5329633504152,
556,-0.002161175,-13.7003273665905,
557,-0.00215606,-13.7003273665905,
558,-0.002150945,-13.7003273665905,
559,-0.00214583,-13.7003273665905,
560,-0.002140715,-13.7003273665905,
561,-0.0021356,-13.7003273665905,
562,-0.002130485,-13.5329633504152,
563,-0.00212537,-13.7003273665905,
564,-0.002120255,-13.5329633504152,
565,-0.00211514,-13.5329633504152,
566,-0.002110025,-13.5329633504152,
567,-0.00210491,-13.5329633504152,
568,-0.002099795,7.5549026876688,
569,-0.00209468,13.9147353023291,
570,-0.002089565,13.7473712861538,
571,-0.00208445,14.0820993185043,
572,-0.002079335,13.9147353023291,
573,-0.00207422,14.0820993185043,
574,-0.002069105,13.9147353023291,
575,-0.00206399,14.0820993185043,
576,-0.002058875,13.7473712861538,
577,-0.00205376,14.0820993185043,
578,-0.002048645,13.7473712861538,
579,-0.00204353,13.9147353023291,
580,-0.002038415,13.9147353023291,
581,-0.0020333,14.0820993185043,
582,-0.002028185,13.9147353023291,
583,-0.00202307,13.7473712861538,
584,-0.002017955,13.9147353023291,
585,-0.00201284,13.7473712861538,
586,-0.002007725,13.9147353023291,
587,-0.00200261,14.0820993185043,
588,-0.001997495,-13.7003273665905,
589,-0.00199238,-13.5329633504152,
590,-0.001987265,-13.7003273665905,
591,-0.00198215,-13.7003273665905,
592,-0.001977035,-13.5329633504152,
593,-0.00197192,-13.7003273665905,
594,-0.001966805,-13.7003273665905,
595,-0.00196169,-13.5329633504152,
596,-0.001956575,-13.5329633504152,
597,-0.00195146,-13.5329633504152,
598,-0.001946345,-13.5329633504152,
