Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 19:09:41

Sample Number,Time (s),1 (VOLT),2 (VOLT),
247,-0.000187024,3.25426834821701,-3.57912087440491,
248,-0.000186768,3.25426834821701,-3.57912087440491,
249,-0.000186512,3.25426834821701,-3.41175685822964,
250,-0.000186256,3.25426834821701,-3.57912087440491,
251,-0.000186,3.25426834821701,-3.24439284205437,
252,-0.000185744,3.25426834821701,-3.41175685822964,
253,-0.000185488,3.25426834821701,-3.41175685822964,
254,-0.000185232,3.18732273578644,-3.57912087440491,
255,-0.000184976,3.25426834821701,-3.57912087440491,
256,-0.00018472,3.25426834821701,-3.41175685822964,
257,-0.000184464,3.25426834821701,-3.57912087440491,
258,-0.000184208,3.25426834821701,-3.57912087440491,
259,-0.000183952,3.25426834821701,-3.57912087440491,
260,-0.000183696,3.25426834821701,-3.91384890675545,
261,-0.00018344,3.25426834821701,-3.57912087440491,
262,-0.000183184,3.25426834821701,-3.41175685822964,
263,-0.000182928,3.25426834821701,-3.57912087440491,
264,-0.000182672,3.25426834821701,-3.74648489058018,
265,-0.000182416,3.25426834821701,-3.91384890675545,
266,-0.00018216,3.32121396064758,-3.57912087440491,
267,-0.000181904,3.25426834821701,-3.41175685822964,
268,-0.000181648,3.25426834821701,-3.57912087440491,
269,-0.000181392,3.25426834821701,-3.24439284205437,
270,-0.000181136,3.25426834821701,-3.57912087440491,
271,-0.00018088,3.25426834821701,-3.57912087440491,
272,-0.000180624,3.18732273578644,-3.57912087440491,
273,-0.000180368,3.25426834821701,-3.91384890675545,
274,-0.000180112,3.18732273578644,-2.90966480970383,
275,-0.000179856,3.25426834821701,-3.57912087440491,
276,-0.0001796,3.25426834821701,-3.57912087440491,
277,-0.000179344,3.25426834821701,-3.57912087440491,
278,-0.000179088,3.25426834821701,-3.57912087440491,
279,-0.000178832,3.25426834821701,-3.57912087440491,
280,-0.000178576,3.18732273578644,-3.57912087440491,
281,-0.00017832,3.18732273578644,-3.57912087440491,
282,-0.000178064,3.25426834821701,-3.0770288258791,
283,-0.000177808,3.18732273578644,-3.41175685822964,
284,-0.000177552,3.25426834821701,-3.57912087440491,
285,-0.000177296,3.25426834821701,-3.57912087440491,
286,-0.00017704,3.18732273578644,-3.41175685822964,
287,-0.000176784,3.25426834821701,-3.57912087440491,
288,-0.000176528,3.25426834821701,-3.57912087440491,
289,-0.000176272,3.25426834821701,-3.57912087440491,
290,-0.000176016,3.25426834821701,-3.91384890675545,
291,-0.00017576,3.18732273578644,-3.0770288258791,
292,-0.000175504,3.32121396064758,-3.41175685822964,
293,-0.000175248,3.25426834821701,-3.41175685822964,
294,-0.000174992,3.25426834821701,-3.24439284205437,
295,-0.000174736,-0.093012273311615,-0.399204567074776,
296,-0.00017448,-0.0260666608810425,2.94807575643063,
297,-0.000174224,-0.093012273311615,3.1154397726059,
298,-0.000173968,-0.0260666608810425,3.1154397726059,
299,-0.000173712,-0.0260666608810425,2.61334772408009,
300,-0.000173456,-0.093012273311615,3.28280378878117,
301,-0.0001732,-0.0260666608810425,3.28280378878117,
302,-0.000172944,-0.0260666608810425,3.45016780495644,
303,-0.000172688,-0.0260666608810425,3.45016780495644,
304,-0.000172432,-0.0260666608810425,3.28280378878117,
305,-0.000172176,-0.0260666608810425,3.1154397726059,
306,-0.00017192,-0.0260666608810425,3.45016780495644,
307,-0.000171664,-0.0260666608810425,3.28280378878117,
308,-0.000171408,-0.0260666608810425,3.61753182113171,
309,-0.000171152,-0.0260666608810425,3.28280378878117,
310,-0.000170896,-0.0260666608810425,3.28280378878117,
311,-0.00017064,-0.0260666608810425,3.28280378878117,
312,-0.000170384,-0.0260666608810425,3.1154397726059,
313,-0.000170128,-0.0260666608810425,3.45016780495644,
314,-0.000169872,-0.0260666608810425,3.45016780495644,
315,-0.000169616,-0.093012273311615,3.28280378878117,
316,-0.00016936,-0.0260666608810425,3.45016780495644,
